ssn,prenom,nom,date_naissance,email,numero_telephone,id_remboursement,code_soin,montant_remboursement
298113604494786,Camille,Benoit,1967-02-13,camille.benoit217@mercier.com,+33 4 90 06 31 56,3850,K00–K93,38.23076923076923
298124221819927,Thérèse,Ferrand,1976-03-22,thérèse.ferrand815@reynaud.fr,0160200360,8415,N00–N99,9.55
252062636227069,Victor,Bonnet,1971-01-09,victor.bonnet679@vincent.org,02 14 23 00 35,1888,H60–H95,27.31578947368421
286063818527487,Théodore,Parent,1962-09-06,théodore.parent363@germain.com,+33 (0)4 20 04 04 48,8318,S00–T98,39.470588235294116
295040240864128,Julien,Gonzalez,1952-09-11,julien.gonzalez101@neveu.com,+33 (0)4 34 23 35 75,8426,K00–K93,70.21428571428571
102097401037242,Laure,Chartier,1991-05-23,laure.chartier902@gilbert.fr,0250724164,9260,G00–G99,64.63636363636364
171105110876279,Aurélie,Bigot,2003-07-11,aurélie.bigot337@duval.com,0383525226,1415,S00–T98,55.53846153846154
217020240837015,Juliette,Charrier,1945-12-05,juliette.charrier215@boulay.fr,0179103249,5161,S00–T98,29.294117647058822
243019122816782,Olivie,Maury,1958-03-26,olivie.maury580@imbert.fr,+33 2 57 63 18 41,4615,C00–D48,39.833333333333336
152053201306840,Gilbert,Bouvet,1964-10-07,gilbert.bouvet53@morvan.fr,04 80 16 16 81,3353,A00–B99,4.85
