ssn,prenom,nom,date_naissance,email,numero_telephone,id_remboursement,code_soin,montant_remboursement
148026311381863,Véronique,Le Goff,1953-09-09,véronique.le goff130@bazin.fr,0587510499,9214,D50–D89,34.27272727272727£
112027401028908,Gilbert,Guillaume,1983-01-03,gilbert.guillaume321@guillon.fr,0437059191,8404,G00–G99,46.0€
185125439597230,Jérôme,Carre,1947-09-02,jérôme.carre471@neveu.fr,0561953540,9678,D50–D89,22.0$
208086005766011,Denis,Martinez,1996-01-11,denis.martinez151@blanchet.org,0355642108,4146,C00–D48,20.352941176470587£
184103818560169,Laurence,Dumont,1946-04-09,laurence.dumont666@lopez.fr,+33 1 34 99 55 03,8700,O00–O99,27.9375€
179081305579804,Charlotte,Legrand,1984-05-12,charlotte.legrand301@renaud.fr,0382884631,9006,D50–D89,89.36363636363636$
205077728880478,Aimé,Lagarde,1993-08-13,aimé.lagarde914@royer.fr,0233489547,5237,J00–J99,55.6£
130075746307266,Patrick,Gilles,1945-07-22,patrick.gilles100@couturier.fr,0488170143,3364,U00–U99,39.666666666666664€
214065212102769,Anastasie,Torres,2000-03-26,anastasie.torres749@mendes.com,0241818122,4574,U00–U99,31.352941176470587€
102097919142055,Claudine,Benard,1935-08-15,claudine.benard232@dubois.org,+33 4 88 35 74 66,8161,S00–T98,23.466666666666665€
