ssn,prenom,nom,date_naissance,email,numero_telephone,id_remboursement,code_soin,montant_remboursement
247088212108145,Corinne,Mace,1964-12-03,corinne.mace117@pages.com,+33 (0)2 41 05 85 49,1324,J00–J99,62.25$
126123155568992,Jeanne,Delmas,1944-04-04,jeanne.delmas132@picard.fr,03 86 22 33 07,4269,F00–F99,24.307692307692307$
174019300896692,Manon,Rodrigues,1991-06-29,manon.rodrigues253@lombard.com,+33 (0)3 44 99 03 27,9396,V01–Y98,64.21428571428571$
235069730273826,Emmanuel,Philippe,2002-03-15,emmanuel.philippe541@blot.fr,+33 (0)3 39 80 60 12,2231,D50–D89,46.5€
206111106921117,Zoé,Blondel,1961-11-30,zoé.blondel6@pinto.fr,+33 (0)5 86 37 65 62,8121,L00–L99,45.8235294117647$
239116613687858,Stéphane,Legrand,1942-05-07,stéphane.legrand850@gillet.com,+33 1 53 88 61 22,1625,F00–F99,42.36363636363637$
131045935019083,Tristan,Maurice,1952-12-25,tristan.maurice488@roy.fr,+33 (0)2 35 20 51 11,2421,P00–P96,63.06666666666667£
281020319037193,Danielle,Pichon,1937-12-29,danielle.pichon932@lagarde.fr,04 50 36 70 31,1419,K00–K93,13.928571428571429$
264061803380313,Éléonore,Imbert,1961-02-01,éléonore.imbert785@robin.com,05 45 25 44 32,4253,O00–O99,13.333333333333334€
215029300831115,Jacques,Le Gall,1946-10-14,jacques.le gall776@moreau.fr,+33 (0)4 30 66 27 43,8808,H60–H95,3.230769230769231€
