ssn,prenom,nom,date_naissance,email,numero_telephone,id_remboursement,code_soin,montant_remboursement
223096005792297,Joséphine,Bernard,1971-01-16,joséphine.bernard801@collin.com,01 47 02 75 48,2999,V01–Y98,54.666666666666664
276034221803954,Noémi,Duval,1955-09-21,noémi.duval13@allain.fr,+33 (0)3 23 02 67 29,9519,A00–B99,52.75
294070718650692,Alexandria,Meunier,1964-11-21,alexandria.meunier890@torres.com,0586464157,9708,Q00–Q99,31.53846153846154
126013306366103,Marthe,Dupuis,1949-07-14,marthe.dupuis345@lamy.org,0261898226,9473,V01–Y98,86.2
193036311366663,Alexandria,Deschamps,1946-09-26,alexandria.deschamps912@gillet.com,0587611670,2958,M00–M99,38.1875
299107654015780,Pierre,Boulay,1954-09-25,pierre.boulay41@fournier.fr,04 74 16 63 96,1354,C00–D48,52.13333333333333
156053818567031,Renée,Goncalves,1977-11-17,renée.goncalves949@gillet.net,+33 (0)4 27 02 27 75,3740,E00–E90,18.357142857142858
236095050219607,Emmanuel,Leconte,1962-02-06,emmanuel.leconte507@dias.org,+33 (0)4 66 09 42 35,4933,H00–H59,55.0625
147028816028515,David,Fleury,1971-02-07,david.fleury629@boulay.net,05 81 54 10 69,8511,Z00–Z99,12.7
279110608831770,Sébastien,Le Goff,1994-01-25,sébastien.le goff885@alexandre.fr,02 57 88 17 75,2394,D50–D89,12.277777777777779
